"year","month","type","total （person－time）","male （person－time）","female （person－time）"
"113","11","家暴案件諮詢-未滿18歲","4501","2421","2080"
"113","11","家暴案件諮詢-18歲以上","17141","4239","12902"
"113","11","性侵案件諮詢-未滿18歲","1788","231","1557"
"113","11","性侵案件諮詢-18歲以上","1344","76","1268"
"113","10","家暴案件諮詢-未滿18歲","4455","2280","2175"
"113","10","家暴案件諮詢-18歲以上","17486","4530","12956"
"113","10","性侵案件諮詢-未滿18歲","1839","228","1611"
"113","10","性侵案件諮詢-18歲以上","1274","93","1181"
"113","9","家暴案件諮詢-未滿18歲","4159","2168","1991"
"113","9","家暴案件諮詢-18歲以上","17402","4398","13004"
"113","9","性侵案件諮詢-未滿18歲","1904","291","1613"
"113","9","性侵案件諮詢-18歲以上","1094","63","1031"
"113","8","家暴案件諮詢-未滿18歲","4207","2296","1911"
"113","8","家暴案件諮詢-18歲以上","18929","4591","14338"
"113","8","性侵案件諮詢-未滿18歲","1718","209","1509"
"113","8","性侵案件諮詢-18歲以上","1305","55","1250"
"113","7","家暴案件諮詢-未滿18歲","4358","2396","1962"
"113","7","家暴案件諮詢-18歲以上","18825","4613","14212"
"113","7","性侵案件諮詢-未滿18歲","1627","248","1379"
"113","7","性侵案件諮詢-18歲以上","1259","87","1172"
"113","6","家暴案件諮詢-未滿18歲","4429","2332","2097"
"113","6","家暴案件諮詢-18歲以上","16801","4275","12526"
"113","6","性侵案件諮詢-未滿18歲","1674","225","1449"
"113","6","性侵案件諮詢-18歲以上","1271","58","1213"
"113","5","家暴案件諮詢-未滿18歲","5009","2687","2322"
"113","5","家暴案件諮詢-18歲以上","19659","4635","15024"
"113","5","性侵案件諮詢-未滿18歲","1865","230","1635"
"113","5","性侵案件諮詢-18歲以上","1378","83","1295"
"113","4","家暴案件諮詢-未滿18歲","4724","2581","2143"
"113","4","家暴案件諮詢-18歲以上","17862","4418","13444"
