"year","age","total","ratio","male","m_ratio","female","f_ratio"
"112","未滿18歲","764","52","192","25","572","75"
"112","18歲以上","706","48","45","6","661","94"
"112","性侵害案量總計","1470","100","237","16","1233","84"
"111","未滿18歲","790","57","180","23","610","77"
"111","18歲以上","604","43","41","7","563","93"
"111","性侵害案量總計","1394","100","221","16","1173","84"
"110","未滿18歲","791","57","159","20","632","80"
"110","18歲以上","593","43","44","7","549","93"
"110","性侵害案量總計","1384","100","203","15","1181","85"
"109","未滿18歲","933","62","234","25","699","75"
"109","18歲以上","577","38","39","7","538","93"
"109","性侵害案量總計","1510","100","273","18","1237","82"
"108","未滿18歲","818","63","177","22","641","78"
"108","18歲以上","479","37","41","9","438","91"
"108","性侵害案量總計","1297","100","218","17","1079","83"
"107","0～18歲","972","66","204","21","768","79"
"107","18歲以上","506","34","22","4","484","96"
"107","性侵害案量總計","1478","100","226","15","1252","85"
"106","0～18歲","914","65","204","22","710","78"
"106","18歲以上","487","35","40","8","447","92"
"106","性侵害案量總計","1401","100","244","17","1157","83"
"105","0～18歲","861","67","152","18","709","82"
"105","18歲以上","430","33","6","1","424","99"
"105","性侵害案量總計","1291","100","158","12","1133","88"
"104","0～18歲","1085","70","200","18","885","82"
"104","18歲以上","456","30","25","5","431","95"
"104","性侵害案量總計","1541","100","225","15","1316","85"
